target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
egernia-local,24,Q10,votable,64,3,16188,268.96,60.198418,0.851284,816.392278,13.56169,0.050432,2461717597.090909,2464616448,4
egernia-local,24,Q10,votable,8,1,9321,155.27,60.042503,0.935136,410.670208,6.839658,0.044059,2390134442.666667,2390761472,4
egernia-local,24,Q10,votable,8,2,8171,136.086,60.085528,0.934542,353.181236,5.877975,0.043224,2391317162.666667,2402533376,4
egernia-local,24,Q10,votable,8,3,8465,140.991,60.107358,0.934084,375.317072,6.244112,0.044338,2393282901.333333,2394222592,4
egernia-local,24,Q11,votable,32,1,1958,32.344,60.589721,0.844284,751.624458,12.405148,0.383874,2529395432.727273,2566926336,4
egernia-local,24,Q11,votable,32,2,1884,31.018,60.743833,0.926602,722.68208,11.897209,0.383589,2519511040.0,2539208704,4
egernia-local,24,Q11,votable,32,3,2005,33.141,60.560607,0.929853,760.977875,12.565559,0.37954,2516743850.666667,2534486016,4
egernia-local,24,Q11,votable,64,1,1910,31.193,61.692235,0.913691,749.144833,12.14326,0.392222,2566990848.0,2618785792,4
egernia-local,24,Q11,votable,64,2,1825,29.465,62.072412,0.987856,717.659929,11.561657,0.393238,2556531003.076923,2578022400,4
egernia-local,24,Q11,votable,64,3,2043,32.663,62.555917,0.900972,820.672663,13.119025,0.4017,2597280426.666667,2636550144,4
egernia-local,24,Q11,votable,8,1,1457,24.194,60.353796,0.930142,497.644034,8.245447,0.341554,2464567978.666667,2472939520,4
egernia-local,24,Q11,votable,8,2,1457,24.165,60.491601,0.928342,503.293781,8.32006,0.345432,2459549696.0,2465579008,4
egernia-local,24,Q11,votable,8,3,1447,24.026,60.442577,0.929135,497.29826,8.227615,0.343675,2455785130.666667,2467024896,4
egernia-local,24,Q12,votable,32,1,36308,604.529,60.077335,0.937895,439.024592,7.307658,0.012092,2486931456.0,2487545856,4
egernia-local,24,Q12,votable,32,2,36094,601.083,60.049879,0.853335,435.842285,7.258004,0.012075,2487502289.454545,2489004032,4
egernia-local,24,Q12,votable,32,3,35557,592.141,60.051748,0.937637,431.81102,7.190649,0.012144,2487399082.666667,2488270848,4
egernia-local,24,Q12,votable,64,1,33854,563.612,60.087777,0.938001,431.402455,7.179538,0.012743,2491505664.0,2503274496,4
egernia-local,24,Q12,votable,64,2,34144,568.233,60.092168,0.852904,432.039094,7.189607,0.012653,2489794932.363636,2491142144,4
egernia-local,24,Q12,votable,64,3,34155,568.434,60.091765,0.937018,432.624052,7.19939,0.012666,2490107562.666667,2491416576,4
egernia-local,24,Q12,votable,8,1,30326,505.364,60.030951,0.937052,305.168777,5.083524,0.010063,2488881493.333333,2501009408,4
egernia-local,24,Q12,votable,8,2,30226,503.629,60.084581,0.936027,304.976534,5.075787,0.01009,2484696746.666667,2485350400,4
egernia-local,24,Q12,votable,8,3,21461,357.506,60.056455,0.850346,223.753282,3.725716,0.010426,2485198103.272727,2485788672,4
egernia-local,24,Q13,votable,32,1,1906,31.321,60.9857,0.941634,1458.468595,23.914927,0.765199,2791875242.666667,2810589184,4
egernia-local,24,Q13,votable,32,2,1893,31.229,60.686477,0.948667,1450.400982,23.899904,0.766192,2812624896.0,2833584128,4
egernia-local,24,Q13,votable,32,3,1901,31.31,60.853064,0.858908,1455.455833,23.917544,0.765626,2817465250.909091,2842853376,4
egernia-local,24,Q13,votable,64,1,1921,31.133,61.82994,0.848037,1478.584927,23.913737,0.769695,2848431755.636364,2864418816,4
egernia-local,24,Q13,votable,64,2,1919,30.988,62.153494,0.926187,1486.59524,23.918128,0.774672,2846465024.0,2866036736,4
egernia-local,24,Q13,votable,64,3,1926,31.187,61.979563,0.929302,1482.738044,23.923015,0.769854,2847148714.666667,2874236928,4
egernia-local,24,Q13,votable,8,1,1779,29.527,60.479588,0.934257,1292.972783,21.378664,0.726798,2610131285.333333,2626498560,4
egernia-local,24,Q13,votable,8,2,1766,29.316,60.374927,0.937141,1289.167196,21.352691,0.729993,2618446848.0,2627338240,4
egernia-local,24,Q13,votable,8,3,1769,29.374,60.249192,0.937883,1286.029215,21.345169,0.726981,2615488512.0,2627366912,4
egernia-local,24,mix,votable,32,1,29581,492.455,60.230107,0.936009,676.968759,11.239707,0.022885,2447099904.0,2468421632,4
