target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
argus-final,,Q01,csv,1,1,5687,94.78,60.002043,0.935235,40.457263,0.674265,0.007114,3791824213.333333,3818369024,
argus-final,,Q01,csv,1,2,5550,92.49,60.006401,0.850083,38.99778,0.649894,0.007027,3851015261.090909,3879489536,
argus-final,,Q01,csv,1,3,5615,93.576,60.004343,0.934471,39.91174,0.665148,0.007108,3882460160.0,3904786432,
argus-final,,Q01,csv,32,1,31931,531.811,60.042853,0.9465,320.80217,5.342887,0.010047,4667437056.0,4718338048,
argus-final,,Q01,csv,32,2,34482,574.434,60.028985,0.945566,347.641939,5.791235,0.010082,4760700928.0,4795891712,
argus-final,,Q01,csv,32,3,31763,529.019,60.048137,0.943188,318.076904,5.297032,0.010014,4872430250.666667,4951724032,
argus-final,,Q01,csv,4,1,16347,272.398,60.013642,0.938227,134.800486,2.246164,0.008246,3991441749.333333,4002164736,
argus-final,,Q01,csv,4,2,13435,223.877,60.016929,0.936896,109.131961,1.818353,0.008123,4176568661.333333,4302671872,
argus-final,,Q01,csv,4,3,16039,267.242,60.02717,0.93785,131.228805,2.186157,0.008182,4298435242.666667,4362428416,
argus-final,,Q01,csv,8,1,26567,442.692,60.027968,0.857486,240.495188,4.006386,0.009052,4412760808.727273,4427857920,
argus-final,,Q01,csv,8,2,25722,428.651,60.023435,0.94322,233.133778,3.884046,0.009064,4457710250.666667,4475490304,
argus-final,,Q01,csv,8,3,26478,441.183,60.028607,0.942742,239.685191,3.992849,0.009052,4521684992.0,4538421248,
argus-final,,Q02,csv,1,1,156,2.588,60.275019,0.929512,60.413533,1.002298,0.387266,4908760405.333333,4909240320,
argus-final,,Q02,csv,1,2,155,2.578,60.134044,0.931544,60.116068,0.999701,0.387846,4909190144.0,4909486080,
argus-final,,Q02,csv,1,3,155,2.574,60.223575,0.930156,60.128129,0.998415,0.387923,4909563562.666667,4909940736,
argus-final,,Q02,csv,32,1,997,16.123,62.010873,0.907258,490.840519,7.915394,0.492317,4894220288.0,4897198080,
argus-final,,Q02,csv,32,2,1001,16.161,62.038527,0.906884,491.142085,7.916727,0.490651,4861587797.333333,4863889408,
argus-final,,Q02,csv,32,3,994,16.094,62.358993,0.98413,493.333451,7.911184,0.496311,4845244731.076923,4847206400,
argus-final,,Q02,csv,4,1,548,9.09,60.426015,0.92869,239.688841,3.96665,0.437388,4928746837.333333,4930285568,
argus-final,,Q02,csv,4,2,556,9.21,60.54368,0.926683,240.485255,3.972095,0.432527,4919716864.0,4930691072,
argus-final,,Q02,csv,4,3,527,8.747,60.522477,0.842385,239.481692,3.956905,0.454424,4914607941.818182,4916043776,
argus-final,,Q02,csv,8,1,970,16.048,60.773682,0.92571,468.930353,7.71601,0.483433,4934909610.666667,4937670656,
argus-final,,Q02,csv,8,2,967,16.002,60.521449,0.92887,466.886631,7.714399,0.48282,4913244501.333333,4914987008,
argus-final,,Q02,csv,8,3,964,15.998,60.519619,0.929409,467.544828,7.725508,0.485005,4890493610.666667,4915331072,
argus-final,,Q03,csv,1,1,2565,42.706,60.062349,0.848702,51.631826,0.859637,0.020129,4793298944.0,4798529536,
argus-final,,Q03,csv,1,2,2488,41.463,60.005958,0.934032,51.949106,0.865732,0.02088,4762549248.0,4763779072,
argus-final,,Q03,csv,1,3,2543,42.382,60.002059,0.849278,52.083738,0.868033,0.020481,4736001861.818182,4768776192,
argus-final,,Q03,csv,32,1,15528,258.089,60.174921,0.854517,414.661134,6.890929,0.026704,4801091770.181818,4813373440,
argus-final,,Q03,csv,32,2,15373,255.507,60.175287,0.854923,415.22434,6.900247,0.02701,4834592209.454545,4845154304,
argus-final,,Q03,csv,32,3,15325,254.761,60.258901,0.853257,412.542836,6.846173,0.02692,4865440674.909091,4877172736,
argus-final,,Q03,csv,4,1,8272,137.834,60.071165,0.936533,188.641833,3.140306,0.022805,4750103210.666667,4761214976,
argus-final,,Q03,csv,4,2,8317,138.455,60.10115,0.85054,190.335504,3.16692,0.022885,4679982731.636364,4688498688,
argus-final,,Q03,csv,4,3,8321,138.508,60.077877,0.936142,189.527145,3.154691,0.022777,4561179989.333333,4566511616,
argus-final,,Q03,csv,8,1,12618,209.987,60.121734,0.940336,314.864901,5.237123,0.024954,4578475690.666667,4588097536,
argus-final,,Q03,csv,8,2,12604,209.86,60.085819,0.940736,314.517269,5.234468,0.024954,4607452842.666667,4632940544,
argus-final,,Q03,csv,8,3,12295,204.62,60.113715,0.939407,307.429476,5.114132,0.025004,4741520042.666667,4776955904,
argus-final,,Q04,csv,1,1,3405,56.735,60.016305,0.849872,49.651512,0.8273,0.014582,4825518452.363636,4829802496,
argus-final,,Q04,csv,1,2,3178,52.951,60.017574,0.934138,50.221788,0.836785,0.015803,4833391957.333333,4836491264,
argus-final,,Q04,csv,1,3,3458,57.632,60.001251,0.934716,49.340737,0.822328,0.014269,4839810389.333333,4842360832,
argus-final,,Q04,csv,32,1,17755,295.505,60.090858,0.941817,371.918141,6.189263,0.020947,5197016064.0,5231292416,
argus-final,,Q04,csv,32,2,18069,300.786,60.090043,0.942166,374.431932,6.231181,0.020722,5241509888.0,5254201344,
argus-final,,Q04,csv,32,3,18047,300.386,60.079472,0.855941,375.152014,6.244263,0.020788,5276669021.090909,5288820736,
argus-final,,Q04,csv,4,1,9857,164.237,60.03279,0.937016,175.178272,2.918043,0.017772,4871544149.333333,4879204352,
argus-final,,Q04,csv,4,2,9813,163.495,60.027339,0.85184,174.246786,2.90279,0.017757,4890164130.909091,4896378880,
