target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
argus-final,argus,Q01,csv,1,1,5687,0.0,94.78,0.010161,0.01165,0.009431,1003.0,0.255,True
argus-final,argus,Q01,csv,1,2,5550,0.0,92.49,0.01015,0.011532,0.009385,1003.0,0.265,True
argus-final,argus,Q01,csv,1,3,5615,0.0,93.576,0.010171,0.011531,0.009352,1003.0,0.255,True
argus-final,argus,Q01,csv,32,1,31931,0.0,531.811,0.054642,0.065441,0.053443,1003.0,0.37,True
argus-final,argus,Q01,csv,32,2,34482,0.0,574.434,0.05469,0.064672,0.053055,1003.0,0.39,True
argus-final,argus,Q01,csv,32,3,31763,0.0,529.019,0.054688,0.065166,0.053362,1003.0,0.41,True
argus-final,argus,Q01,csv,4,1,16347,0.0,272.398,0.013602,0.016257,0.012847,1003.0,0.23,True
argus-final,argus,Q01,csv,4,2,13435,0.0,223.877,0.013683,0.016399,0.012927,1003.0,0.225,True
argus-final,argus,Q01,csv,4,3,16039,0.0,267.242,0.013667,0.016392,0.012951,1003.0,0.235,True
argus-final,argus,Q01,csv,8,1,26567,0.0,442.692,0.017813,0.021702,0.017082,1003.0,0.345,True
argus-final,argus,Q01,csv,8,2,25722,0.0,428.651,0.017995,0.021966,0.017222,1003.0,0.35,True
argus-final,argus,Q01,csv,8,3,26478,0.0,441.183,0.017848,0.021772,0.017072,1003.0,0.345,True
argus-final,argus,Q02,csv,1,1,156,0.0,2.588,0.386267,0.391978,0.388399,38433.8,0.015,True
argus-final,argus,Q02,csv,1,2,155,0.0,2.578,0.387758,0.394829,0.391503,38361.4,0.015,True
argus-final,argus,Q02,csv,1,3,155,0.0,2.574,0.388388,0.395489,0.392242,38370.1,0.015,True
argus-final,argus,Q02,csv,32,1,997,0.0,16.123,1.963385,2.045133,2.038949,38406.5,0.025,True
argus-final,argus,Q02,csv,32,2,1001,0.0,16.161,1.966984,2.05911,2.053662,38406.2,0.025,True
argus-final,argus,Q02,csv,32,3,994,0.0,16.094,1.973259,2.060414,2.053178,38420.1,0.03,True
argus-final,argus,Q02,csv,4,1,548,0.0,9.09,0.477313,0.489369,0.485439,38412.0,0.015,True
argus-final,argus,Q02,csv,4,2,556,0.0,9.21,0.395237,0.490055,0.486441,38413.2,0.015,True
argus-final,argus,Q02,csv,4,3,527,0.0,8.747,0.478521,0.489734,0.486148,38397.2,0.015,True
argus-final,argus,Q02,csv,8,1,970,0.0,16.048,0.493675,0.526424,0.522182,38406.2,0.02,True
argus-final,argus,Q02,csv,8,2,967,0.0,16.002,0.493208,0.538045,0.533667,38405.8,0.02,True
argus-final,argus,Q02,csv,8,3,964,0.0,15.998,0.495702,0.530529,0.525993,38428.7,0.025,True
argus-final,argus,Q03,csv,1,1,2565,0.0,42.706,0.013854,0.079859,0.077105,25546.2,0.14,True
argus-final,argus,Q03,csv,1,2,2488,0.0,41.463,0.014118,0.079828,0.077109,25257.5,0.145,True
argus-final,argus,Q03,csv,1,3,2543,0.0,42.382,0.014368,0.080462,0.077751,25593.3,0.145,True
argus-final,argus,Q03,csv,32,1,15528,0.0,258.089,0.108525,0.234518,0.22638,25646.1,0.21,True
argus-final,argus,Q03,csv,32,2,15373,0.0,255.507,0.109616,0.236179,0.228437,25515.9,0.205,True
argus-final,argus,Q03,csv,32,3,15325,0.0,254.761,0.110619,0.237588,0.227388,25535.2,0.2,True
argus-final,argus,Q03,csv,4,1,8272,0.0,137.834,0.018553,0.093549,0.090207,25509.0,0.155,True
argus-final,argus,Q03,csv,4,2,8317,0.0,138.455,0.01839,0.093129,0.089646,25488.8,0.148,True
argus-final,argus,Q03,csv,4,3,8321,0.0,138.508,0.018498,0.09331,0.090074,25556.0,0.145,True
argus-final,argus,Q03,csv,8,1,12618,0.0,209.987,0.026044,0.114909,0.10947,25591.2,0.21,True
argus-final,argus,Q03,csv,8,2,12604,0.0,209.86,0.025904,0.114514,0.109158,25543.2,0.205,True
argus-final,argus,Q03,csv,8,3,12295,0.0,204.62,0.025869,0.114876,0.109334,25474.8,0.2,True
argus-final,argus,Q04,csv,1,1,3405,0.0,56.735,0.017412,0.020283,0.016403,59984.3,0.215,True
argus-final,argus,Q04,csv,1,2,3178,0.0,52.951,0.018843,0.020828,0.01691,59987.9,0.2,True
argus-final,argus,Q04,csv,1,3,3458,0.0,57.632,0.017027,0.019802,0.016067,59970.7,0.205,True
argus-final,argus,Q04,csv,32,1,17755,0.0,295.505,0.106717,0.124488,0.110802,59973.9,0.265,True
argus-final,argus,Q04,csv,32,2,18069,0.0,300.786,0.105712,0.12333,0.109863,59976.4,0.285,True
argus-final,argus,Q04,csv,32,3,18047,0.0,300.386,0.105853,0.123574,0.11007,59971.8,0.265,True
argus-final,argus,Q04,csv,4,1,9857,0.0,164.237,0.024012,0.028705,0.023093,59975.6,0.185,True
argus-final,argus,Q04,csv,4,2,9813,0.0,163.495,0.024163,0.02884,0.023343,59980.6,0.18,True
argus-final,argus,Q04,csv,4,3,9812,0.0,163.48,0.024149,0.028848,0.023299,59969.5,0.18,True
argus-final,argus,Q04,csv,8,1,14786,0.0,246.328,0.032025,0.039668,0.031565,59972.6,0.26,True
argus-final,argus,Q04,csv,8,2,13204,0.0,219.968,0.033173,0.041251,0.032956,59978.7,0.26,True
argus-final,argus,Q04,csv,8,3,12123,0.0,201.962,0.033223,0.041601,0.03294,59976.0,0.26,True
argus-final,argus,Q05,csv,1,1,151,0.0,2.516,0.396816,0.403955,0.401097,3526.6,0.015,True
argus-final,argus,Q05,csv,1,2,149,0.0,2.477,0.403406,0.408995,0.406425,3778.7,0.015,True
argus-final,argus,Q05,csv,1,3,150,0.0,2.488,0.401587,0.40745,0.404571,3978.9,0.015,True
argus-final,argus,Q05,csv,32,1,904,0.0,14.586,2.186037,2.291942,2.285627,3843.5,0.025,True
argus-final,argus,Q05,csv,32,2,899,0.0,14.471,2.182396,2.289319,2.283684,3740.2,0.02,True
argus-final,argus,Q05,csv,32,3,903,0.0,14.535,2.18588,2.308274,2.303459,3844.5,0.025,True
argus-final,argus,Q05,csv,4,1,593,0.0,9.829,0.404869,0.412818,0.409824,3576.2,0.015,True
argus-final,argus,Q05,csv,4,2,518,0.0,8.579,0.410123,0.551776,0.548835,3810.8,0.015,True
argus-final,argus,Q05,csv,4,3,521,0.0,8.638,0.413204,0.550883,0.546856,3853.8,0.015,True
argus-final,argus,Q05,csv,8,1,873,0.0,14.43,0.553097,0.585161,0.580598,3870.3,0.02,True
argus-final,argus,Q05,csv,8,2,878,0.0,14.537,0.551727,0.581259,0.577515,3854.1,0.02,True
argus-final,argus,Q05,csv,8,3,878,0.0,14.542,0.551246,0.584429,0.580333,3896.8,0.02,True
argus-final,argus,Q06,csv,1,1,147,0.0,2.44,0.41247,0.418767,0.413217,71830.5,0.015,True
argus-final,argus,Q06,csv,1,2,152,0.0,2.526,0.407133,0.413766,0.409482,72115.2,0.015,True
argus-final,argus,Q06,csv,1,3,150,0.0,2.485,0.407054,0.414599,0.410244,64984.8,0.02,True
argus-final,argus,Q06,csv,32,1,906,0.0,14.614,2.192666,2.299741,2.291698,72806.1,0.025,True
argus-final,argus,Q06,csv,32,2,913,0.0,14.735,2.177462,2.291485,2.279621,71049.1,0.03,True
argus-final,argus,Q06,csv,32,3,898,0.0,14.47,2.197673,2.305636,2.298787,68672.2,0.03,True
argus-final,argus,Q06,csv,4,1,523,0.0,8.658,0.415444,0.55397,0.549605,72227.3,0.03,True
argus-final,argus,Q06,csv,4,2,529,0.0,8.773,0.414777,0.554212,0.549459,72889.8,0.02,True
argus-final,argus,Q06,csv,4,3,595,0.0,9.871,0.409259,0.416843,0.412186,68279.8,0.02,True
argus-final,argus,Q06,csv,8,1,873,0.0,14.433,0.558716,0.592762,0.584663,72262.1,0.02,True
argus-final,argus,Q06,csv,8,2,873,0.0,14.436,0.559248,0.599001,0.592304,72141.1,0.02,True
argus-final,argus,Q06,csv,8,3,874,0.0,14.449,0.559716,0.596466,0.590078,70573.0,0.025,True
argus-final,argus,Q07,csv,1,1,211,0.0,3.516,0.326875,0.413057,0.409561,18952.2,0.015,True
argus-final,argus,Q07,csv,1,2,208,0.0,3.466,0.33163,0.404531,0.401073,19810.1,0.02,True
argus-final,argus,Q07,csv,1,3,201,0.0,3.334,0.332839,0.410455,0.396187,19687.7,0.02,True
argus-final,argus,Q07,csv,32,1,1306,0.0,21.163,1.520835,1.756939,1.749938,20058.7,0.025,True
argus-final,argus,Q07,csv,32,2,1302,0.0,21.155,1.515283,1.749328,1.743685,20066.3,0.03,True
argus-final,argus,Q07,csv,32,3,1303,0.0,21.275,1.522853,1.733545,1.726817,19716.6,0.03,True
argus-final,argus,Q07,csv,4,1,813,0.0,13.52,0.339911,0.410977,0.407453,19939.2,0.02,True
argus-final,argus,Q07,csv,4,2,733,0.0,12.129,0.351812,0.490062,0.487186,20214.6,0.02,True
argus-final,argus,Q07,csv,4,3,734,0.0,12.179,0.349679,0.504462,0.500648,19029.9,0.02,True
argus-final,argus,Q07,csv,8,1,1245,0.0,20.633,0.434172,0.546294,0.539321,20316.5,0.03,True
argus-final,argus,Q07,csv,8,2,1244,0.0,20.612,0.433566,0.549501,0.545357,20070.3,0.025,True
argus-final,argus,Q07,csv,8,3,1248,0.0,20.654,0.437037,0.554582,0.548264,19817.0,0.025,True
argus-final,argus,Q10,csv,1,1,2251,0.0,37.507,0.026268,0.029805,0.017526,297926.4,0.3,True
argus-final,argus,Q10,csv,1,2,2316,0.0,38.6,0.025567,0.028541,0.016266,297946.5,0.31,True
argus-final,argus,Q10,csv,1,3,2258,0.0,37.629,0.026163,0.029779,0.017308,298022.3,0.275,True
argus-final,argus,Q10,csv,32,1,10383,0.0,172.802,0.175587,0.200732,0.166081,297981.5,0.34,True
argus-final,argus,Q10,csv,32,2,10902,0.0,181.282,0.175756,0.20102,0.166313,297955.9,0.32,True
argus-final,argus,Q10,csv,32,3,10043,0.0,167.01,0.175763,0.201173,0.166919,298080.9,0.315,True
argus-final,argus,Q10,csv,4,1,5722,0.0,95.319,0.035848,0.043694,0.025956,298009.9,0.27,True
argus-final,argus,Q10,csv,4,2,5442,0.0,90.667,0.036278,0.044025,0.026216,297952.2,0.26,True
argus-final,argus,Q10,csv,4,3,6314,0.0,105.199,0.035988,0.043854,0.025963,298077.1,0.265,True
