target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
argus-final,argus,Q05,csv,4,2,528,0.0,8.778,0.407653,0.542219,0.539437,3782.0,0.015,True
argus-final,argus,Q05,csv,4,3,533,0.0,8.829,0.407895,0.521177,0.517557,3874.0,0.015,True
argus-final,argus,Q05,csv,8,1,885,0.0,14.637,0.546442,0.571438,0.568034,3880.2,0.02,True
argus-final,argus,Q05,csv,8,2,881,0.0,14.585,0.546609,0.57212,0.56675,3854.0,0.02,True
argus-final,argus,Q05,csv,8,3,883,0.0,14.625,0.545032,0.574506,0.569367,3853.7,0.02,True
argus-final,argus,Q06,csv,1,1,147,0.0,2.441,0.412027,0.41608,0.411217,71570.5,0.02,True
argus-final,argus,Q06,csv,1,2,151,0.0,2.505,0.41119,0.415825,0.411217,72307.1,0.02,True
argus-final,argus,Q06,csv,1,3,151,0.0,2.508,0.40397,0.410347,0.40709,65142.5,0.015,True
argus-final,argus,Q06,csv,32,1,920,0.0,14.808,2.15772,2.275203,2.266424,72925.9,0.03,True
argus-final,argus,Q06,csv,32,2,921,0.0,14.81,2.160773,2.259103,2.252524,70817.3,0.03,True
argus-final,argus,Q06,csv,32,3,923,0.0,14.909,2.156679,2.276634,2.265949,68806.1,0.03,True
argus-final,argus,Q06,csv,4,1,592,0.0,9.809,0.409374,0.42053,0.415856,72271.4,0.015,True
argus-final,argus,Q06,csv,4,2,546,0.0,9.079,0.409351,0.639901,0.44861,72344.0,0.02,True
argus-final,argus,Q06,csv,4,3,528,0.0,8.754,0.413553,0.546297,0.541714,69195.8,0.015,True
argus-final,argus,Q06,csv,8,1,882,0.0,14.62,0.553006,0.586414,0.578445,72398.6,0.025,True
argus-final,argus,Q06,csv,8,2,889,0.0,14.709,0.549537,0.586641,0.579409,72208.1,0.025,True
argus-final,argus,Q06,csv,8,3,887,0.0,14.65,0.550977,0.59092,0.58416,70558.3,0.025,True
argus-final,argus,Q07,csv,1,1,212,0.0,3.529,0.327776,0.412527,0.409283,19029.8,0.02,True
argus-final,argus,Q07,csv,1,2,208,0.0,3.45,0.331639,0.405001,0.401465,19883.1,0.02,True
argus-final,argus,Q07,csv,1,3,207,0.0,3.436,0.336794,0.405989,0.402286,19568.9,0.015,True
argus-final,argus,Q07,csv,32,1,1313,0.0,21.321,1.498972,1.752322,1.745675,20092.4,0.03,True
argus-final,argus,Q07,csv,32,2,1311,0.0,21.338,1.500873,1.740425,1.732495,20070.2,0.025,True
argus-final,argus,Q07,csv,32,3,1317,0.0,21.482,1.504512,1.7215,1.716243,19693.1,0.025,True
argus-final,argus,Q07,csv,4,1,805,0.0,13.393,0.339155,0.417715,0.413395,19826.1,0.02,True
argus-final,argus,Q07,csv,4,2,812,0.0,13.469,0.338669,0.41437,0.410756,19807.4,0.02,True
argus-final,argus,Q07,csv,4,3,737,0.0,12.24,0.34583,0.49305,0.49002,19166.7,0.03,True
argus-final,argus,Q07,csv,8,1,1248,0.0,20.666,0.433579,0.54268,0.537063,20303.7,0.025,True
argus-final,argus,Q07,csv,8,2,1250,0.0,20.699,0.433204,0.550352,0.544662,20081.1,0.025,True
argus-final,argus,Q07,csv,8,3,1253,0.0,20.726,0.433915,0.550573,0.545826,19871.0,0.025,True
argus-final,argus,Q10,csv,1,1,2198,0.0,36.625,0.027057,0.030258,0.01801,297929.5,0.295,True
argus-final,argus,Q10,csv,1,2,2142,0.0,35.692,0.027682,0.030986,0.01869,297969.9,0.27,True
argus-final,argus,Q10,csv,1,3,2170,0.0,36.155,0.027264,0.031222,0.018614,298040.0,0.27,True
argus-final,argus,Q10,csv,32,1,10384,0.0,172.622,0.174633,0.201113,0.164951,297987.8,0.335,True
argus-final,argus,Q10,csv,32,2,10907,0.0,181.328,0.175637,0.200561,0.166887,297956.4,0.345,True
argus-final,argus,Q10,csv,32,3,10910,0.0,181.41,0.175689,0.199699,0.166424,298071.6,0.355,True
argus-final,argus,Q10,csv,4,1,5863,0.0,97.681,0.035912,0.044358,0.02625,298005.0,0.265,True
argus-final,argus,Q10,csv,4,2,5201,0.0,86.651,0.036019,0.044011,0.026119,297940.0,0.26,True
argus-final,argus,Q10,csv,4,3,6581,0.0,109.626,0.036002,0.043762,0.02603,298103.0,0.275,True
argus-final,argus,Q10,csv,8,1,4731,0.0,78.791,0.053434,0.325632,0.252916,297976.5,0.375,True
argus-final,argus,Q10,csv,8,2,9339,0.0,155.612,0.04911,0.061428,0.036538,297928.2,0.37,True
argus-final,argus,Q10,csv,8,3,9262,0.0,154.277,0.048743,0.06143,0.036182,298045.8,0.375,True
argus-final,argus,Q11,csv,1,1,365,0.0,6.073,0.164002,0.171782,0.017071,2995847.2,0.325,True
argus-final,argus,Q11,csv,1,2,364,0.0,6.061,0.163982,0.17308,0.017304,2994206.1,0.31,True
argus-final,argus,Q11,csv,1,3,367,0.0,6.103,0.163805,0.167061,0.016835,2995697.6,0.375,True
argus-final,argus,Q11,csv,32,1,1721,0.0,28.233,1.129399,1.211748,0.928772,2996201.2,0.365,True
argus-final,argus,Q11,csv,32,2,1726,0.0,28.322,1.130557,1.206992,0.925347,2995480.3,0.415,True
argus-final,argus,Q11,csv,32,3,1726,0.0,28.26,1.128044,1.203986,0.918867,2996191.0,0.4,True
argus-final,argus,Q11,csv,4,1,1157,0.0,19.233,0.206933,0.231316,0.028067,2995517.1,0.335,True
argus-final,argus,Q11,csv,4,2,1158,0.0,19.248,0.207811,0.230075,0.027861,2995703.7,0.35,True
argus-final,argus,Q11,csv,4,3,1156,0.0,19.224,0.207168,0.234953,0.028719,2997097.6,0.355,True
argus-final,argus,Q11,csv,8,1,1654,0.0,27.481,0.290293,0.332766,0.044309,2996069.9,0.48,True
argus-final,argus,Q11,csv,8,2,1659,0.0,27.568,0.289907,0.330575,0.044331,2995292.5,0.49,True
argus-final,argus,Q11,csv,8,3,1663,0.0,27.608,0.289268,0.334492,0.043429,2995423.6,0.49,True
argus-final,argus,Q12,csv,1,1,148,0.0,2.464,0.406156,0.411675,0.409065,109.0,0.015,True
argus-final,argus,Q12,csv,1,2,147,0.0,2.445,0.408906,0.414396,0.41127,109.0,0.015,True
argus-final,argus,Q12,csv,1,3,149,0.0,2.477,0.404247,0.409718,0.406879,109.0,0.015,True
argus-final,argus,Q12,csv,32,1,914,0.0,14.727,2.158212,2.236202,2.231204,109.0,0.025,True
argus-final,argus,Q12,csv,32,2,917,0.0,14.771,2.162591,2.244768,2.240749,109.0,0.03,True
argus-final,argus,Q12,csv,32,3,919,0.0,14.805,2.156755,2.247257,2.241787,109.0,0.02,True
argus-final,argus,Q12,csv,4,1,486,0.0,8.034,0.505889,0.536676,0.533982,109.0,0.025,True
argus-final,argus,Q12,csv,4,2,556,0.0,9.218,0.406515,0.542221,0.539582,109.0,0.015,True
argus-final,argus,Q12,csv,4,3,529,0.0,8.784,0.411573,0.539768,0.537074,109.0,0.015,True
argus-final,argus,Q12,csv,8,1,893,0.0,14.753,0.542488,0.570298,0.565583,109.0,0.02,True
argus-final,argus,Q12,csv,8,2,884,0.0,14.633,0.545689,0.570844,0.566573,109.0,0.02,True
argus-final,argus,Q12,csv,8,3,893,0.0,14.789,0.540126,0.575364,0.570594,109.0,0.02,True
argus-final,argus,Q13,csv,1,1,169,0.0,2.811,0.365154,0.398845,0.396473,2267.2,0.015,True
argus-final,argus,Q13,csv,1,2,170,0.0,2.828,0.364269,0.395095,0.39287,2266.6,0.015,True
argus-final,argus,Q13,csv,1,3,170,0.0,2.823,0.346081,0.403328,0.400889,2262.5,0.015,True
argus-final,argus,Q13,csv,32,1,1088,0.0,17.658,1.794091,1.948376,1.93985,2264.4,0.025,True
argus-final,argus,Q13,csv,32,2,1111,0.0,17.997,1.764906,1.938667,1.934077,2264.4,0.03,True
argus-final,argus,Q13,csv,32,3,1100,0.0,17.844,1.778969,1.961125,1.956487,2264.2,0.025,True
argus-final,argus,Q13,csv,4,1,618,0.0,10.255,0.383244,0.477322,0.473464,2265.4,0.02,True
argus-final,argus,Q13,csv,4,2,656,0.0,10.858,0.366949,0.43764,0.43413,2264.6,0.015,True
argus-final,argus,Q13,csv,4,3,627,0.0,10.404,0.376254,0.47515,0.471601,2263.1,0.015,True
argus-final,argus,Q13,csv,8,1,1054,0.0,17.473,0.446611,0.545714,0.540903,2264.1,0.02,True
argus-final,argus,Q13,csv,8,2,1047,0.0,17.337,0.453947,0.545722,0.541564,2264.8,0.025,True
argus-final,argus,Q13,csv,8,3,1048,0.0,17.331,0.457917,0.546343,0.541283,2264.0,0.025,True
argus-final,argus,mix,csv,1,1,239,0.0,3.962,0.387958,0.409194,0.40559,37402.6,0.03,True
argus-final,argus,mix,csv,1,2,247,0.0,4.094,0.384157,0.405575,0.40289,40853.1,0.025,True
argus-final,argus,mix,csv,1,3,266,0.0,4.431,0.341703,0.406874,0.403032,51160.0,0.035,True
argus-final,argus,mix,csv,32,1,1517,0.0,24.742,1.318215,1.733309,1.727501,41921.9,0.03,True
argus-final,argus,mix,csv,32,2,1484,0.0,24.152,1.363856,1.70925,1.703602,42578.5,0.03,True
