target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
egernia-local-equalcpu,,Q07,csv,4,3,26736,222.778,120.027551,0.940767,372.477626,3.103268,0.013932,3181943407.304348,3191001088,8
egernia-local-equalcpu,,Q07,csv,8,1,35789,298.17,120.028615,0.94168,540.20317,4.50062,0.015094,3191308288.0,3197263872,8
egernia-local-equalcpu,,Q07,csv,8,2,37387,311.506,120.026501,0.941994,565.990875,4.715549,0.015139,3159288075.130435,3160252416,8
egernia-local-equalcpu,,Q07,csv,8,3,34645,288.662,120.029763,0.983401,524.652992,4.371024,0.015144,3150508714.666667,3151347712,8
egernia-local-equalcpu,,Q10,csv,1,1,3701,30.841,120.000826,0.944486,137.060972,1.142167,0.037033,3311030984.347826,3313475584,8
egernia-local-equalcpu,,Q10,csv,1,2,3724,31.026,120.027455,0.942759,138.597067,1.154711,0.037217,3303925314.782609,3310776320,8
egernia-local-equalcpu,,Q10,csv,1,3,3745,31.204,120.015216,0.942256,137.729775,1.147603,0.036777,3280183117.913043,3280699392,8
egernia-local-equalcpu,,Q10,csv,16,1,17750,147.823,120.093603,0.984646,912.174256,7.595527,0.05139,3173443242.666667,3182297088,8
egernia-local-equalcpu,,Q10,csv,16,2,17502,145.764,120.07635,0.942675,898.486781,7.482629,0.051336,3179826665.73913,3180720128,8
egernia-local-equalcpu,,Q10,csv,16,3,17653,147.026,120.0961,0.942571,906.091147,7.544718,0.051328,3188441978.434783,3207094272,8
egernia-local-equalcpu,,Q10,csv,32,1,17735,147.637,120.138378,0.987154,957.305749,7.968359,0.053978,3235287552.0,3237695488,8
egernia-local-equalcpu,,Q10,csv,32,2,17726,147.574,120.159289,0.944637,956.678308,7.961751,0.05397,3240047482.434783,3243896832,8
egernia-local-equalcpu,,Q10,csv,32,3,17640,146.84,120.134008,0.946255,956.767699,7.96417,0.054239,3276090501.565217,3280363520,8
