target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
dachs-scaling3,dachs,Q11,votable,32,2,296,0.0,4.767,6.936325,9.666647,8.953955,3496392.1,0.02,True,24
dachs-scaling3,dachs,Q11,votable,32,3,322,0.0,4.891,6.482806,10.674735,8.417894,3497430.2,0.02,True,24
dachs-scaling3,dachs,Q11,votable,8,1,279,0.0,4.573,1.853299,2.084552,1.967079,3499307.1,0.015,True,24
dachs-scaling3,dachs,Q11,votable,8,2,262,0.0,4.311,1.928069,2.602468,2.4846,3497369.0,0.02,True,24
dachs-scaling3,dachs,Q11,votable,8,3,274,0.0,4.504,1.837909,2.137634,2.010136,3496668.8,0.015,True,24
egernia-scaling3,egernia,Q01,csv,32,1,43435,0.0,723.612,0.042241,0.06381,0.060663,1835.0,0.17,True,24
egernia-scaling3,egernia,Q01,csv,32,2,43001,0.0,716.279,0.04263,0.065069,0.061866,1835.0,0.165,True,24
egernia-scaling3,egernia,Q01,csv,32,3,43039,0.0,716.724,0.044232,0.062099,0.058939,1835.0,0.16,True,24
egernia-scaling3,egernia,Q01,csv,8,1,35683,0.0,594.607,0.013921,0.021796,0.02061,1835.0,0.285,True,24
egernia-scaling3,egernia,Q01,csv,8,2,35774,0.0,596.082,0.013824,0.021669,0.020498,1835.0,0.29,True,24
egernia-scaling3,egernia,Q01,csv,8,3,35107,0.0,584.952,0.009441,0.028455,0.027021,1835.0,0.3,True,24
egernia-scaling3,egernia,Q11,csv,32,1,3856,0.0,63.034,0.457801,0.947505,0.886402,2993756.1,0.125,True,24
egernia-scaling3,egernia,Q11,csv,32,2,4012,0.0,66.577,0.442748,0.873759,0.805559,2993936.4,0.125,True,24
egernia-scaling3,egernia,Q11,csv,32,3,3972,0.0,65.891,0.410139,0.840675,0.784357,2993434.6,0.13,True,24
egernia-scaling3,egernia,Q11,csv,8,1,2200,0.0,36.552,0.279184,0.360621,0.245734,2993348.6,0.16,True,24
egernia-scaling3,egernia,Q11,csv,8,2,3165,0.0,52.63,0.148167,0.231985,0.191937,2993721.0,0.13,True,24
egernia-scaling3,egernia,Q11,csv,8,3,3108,0.0,51.641,0.111314,0.283282,0.209485,2992865.1,0.155,True,24
egernia-scaling3,egernia,Q01,votable,32,1,43235,0.0,720.038,0.046084,0.063847,0.06074,2682.0,0.2,True,24
egernia-scaling3,egernia,Q01,votable,32,2,42953,0.0,715.433,0.042996,0.06605,0.062817,2682.0,0.18,True,24
egernia-scaling3,egernia,Q01,votable,32,3,43157,0.0,718.841,0.041116,0.070874,0.067394,2682.0,0.182,True,24
egernia-scaling3,egernia,Q01,votable,8,1,32589,0.0,543.023,0.006256,0.034721,0.032995,2682.0,0.305,True,24
egernia-scaling3,egernia,Q01,votable,8,2,35318,0.0,588.514,0.009324,0.028326,0.027019,2682.0,0.29,True,24
egernia-scaling3,egernia,Q01,votable,8,3,35099,0.0,584.812,0.009361,0.028441,0.027065,2682.0,0.285,True,24
egernia-scaling3,egernia,Q11,votable,32,1,3402,0.0,56.358,0.555857,1.095763,1.024535,3954778.6,0.165,True,24
egernia-scaling3,egernia,Q11,votable,32,2,3140,0.0,51.977,0.479832,1.288239,1.21601,3955030.0,0.145,True,24
egernia-scaling3,egernia,Q11,votable,32,3,3132,0.0,51.635,0.540601,1.390959,1.321484,3954785.6,0.165,True,24
egernia-scaling3,egernia,Q11,votable,8,1,2955,0.0,49.194,0.151377,0.261871,0.220857,3955369.4,0.145,True,24
egernia-scaling3,egernia,Q11,votable,8,2,2538,0.0,42.193,0.187052,0.305223,0.240914,3954289.3,0.15,True,24
egernia-scaling3,egernia,Q11,votable,8,3,2565,0.0,42.68,0.185717,0.290752,0.228065,3954909.1,0.15,True,24
