target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
egernia-local,,Q05,votable,1,3,11930,99.415,120.001565,0.972795,112.683698,0.939019,0.009445,1530815488.0,1531813888,1
egernia-local,,Q05,votable,16,1,19951,166.172,120.077987,0.973704,241.917455,2.014669,0.012126,1527605589.333333,1528188928,1
egernia-local,,Q05,votable,16,2,19968,166.322,120.065254,0.97447,241.476186,2.011208,0.012093,1528300885.333333,1529245696,1
egernia-local,,Q05,votable,16,3,19996,166.544,120.076518,0.974661,242.03936,2.015709,0.012104,1527972693.333333,1536864256,1
egernia-local,,Q05,votable,32,1,18959,157.836,120.120395,0.931328,235.684412,1.962068,0.012431,1531169391.304348,1543159808,1
egernia-local,,Q05,votable,32,2,18923,157.528,120.126261,0.973514,235.816458,1.963072,0.012462,1531350016.0,1543004160,1
egernia-local,,Q05,votable,32,3,18982,158.026,120.126395,0.973799,236.303946,1.967128,0.012449,1531562666.666667,1542557696,1
egernia-local,,Q05,votable,4,1,21124,176.02,120.013118,0.973276,229.075329,1.908752,0.010844,1523347456.0,1535389696,1
egernia-local,,Q05,votable,4,2,21151,176.241,120.018844,0.931368,229.282499,1.910388,0.01084,1520600820.869565,1533243392,1
egernia-local,,Q05,votable,4,3,21302,177.485,120.034414,0.930906,229.713041,1.913727,0.010784,1514794295.652174,1515786240,1
egernia-local,,Q05,votable,8,1,21082,175.635,120.051245,0.931526,246.429763,2.052705,0.011689,1528132652.521739,1533333504,1
egernia-local,,Q05,votable,8,2,21037,175.272,120.025125,0.974199,245.335043,2.044031,0.011662,1525818538.666667,1526919168,1
egernia-local,,Q05,votable,8,3,21035,175.244,120.035961,0.974191,245.627532,2.046283,0.011677,1526447445.333333,1527255040,1
egernia-local,,Q06,votable,1,1,6570,54.748,120.003963,0.931558,124.516254,1.037601,0.018952,1535340544.0,1548029952,1
egernia-local,,Q06,votable,1,2,6581,54.837,120.01004,0.973162,124.144671,1.034452,0.018864,1538461525.333333,1542602752,1
egernia-local,,Q06,votable,1,3,6599,54.989,120.006833,0.972687,124.360463,1.036278,0.018845,1531660117.333333,1532198912,1
egernia-local,,Q06,votable,16,1,15876,132.23,120.066042,0.973847,359.528965,2.994427,0.022646,1541878613.333333,1542750208,1
egernia-local,,Q06,votable,16,2,15928,132.644,120.100277,0.973929,359.015958,2.989302,0.02254,1542818986.666667,1543794688,1
egernia-local,,Q06,votable,16,3,15966,132.975,120.077164,0.973762,360.053433,2.998517,0.022551,1543553365.333333,1544683520,1
egernia-local,,Q06,votable,32,1,15050,125.216,120.195975,0.973109,346.70302,2.884481,0.023037,1545008298.666667,1545732096,1
egernia-local,,Q06,votable,32,2,15114,125.754,120.252578,0.972605,347.189183,2.887166,0.022971,1547459584.0,1559552000,1
egernia-local,,Q06,votable,32,3,15176,126.29,120.178827,0.930862,348.830983,2.902599,0.022986,1546512116.869565,1547325440,1
egernia-local,,Q06,votable,4,1,14971,124.745,120.021947,0.931052,317.249839,2.643265,0.021191,1532813133.913043,1533583360,1
