target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
argus-local,argus,Q04,csv,16,1,35033,0.0,291.854,0.053822,0.070478,0.056501,59977.2,0.36,True
argus-local,argus,Q04,csv,16,2,35243,0.0,293.583,0.053675,0.069648,0.055805,59976.4,0.34,True
argus-local,argus,Q04,csv,16,3,35258,0.0,293.74,0.053355,0.069726,0.055849,59972.4,0.335,True
argus-local,argus,Q04,csv,32,1,34899,0.0,290.628,0.10874,0.130472,0.114978,59977.5,0.355,True
argus-local,argus,Q04,csv,32,2,35080,0.0,292.131,0.10854,0.129316,0.11467,59976.5,0.345,True
argus-local,argus,Q04,csv,32,3,35107,0.0,292.371,0.108825,0.128386,0.114698,59972.0,0.345,True
argus-local,argus,Q04,csv,4,1,17734,0.0,147.758,0.026437,0.032671,0.026311,59974.3,0.18,True
argus-local,argus,Q04,csv,4,2,17831,0.0,148.572,0.026441,0.032357,0.026168,59979.4,0.18,True
argus-local,argus,Q04,csv,4,3,16559,0.0,137.885,0.026867,0.034918,0.027508,59975.7,0.185,True
argus-local,argus,Q04,csv,8,1,27495,0.0,229.082,0.034312,0.043109,0.034509,59978.9,0.265,True
argus-local,argus,Q04,csv,8,2,27648,0.0,230.357,0.034168,0.042713,0.034155,59976.7,0.27,True
argus-local,argus,Q04,csv,8,3,27514,0.0,229.237,0.034288,0.042936,0.034313,59972.7,0.27,True
argus-local,argus,Q05,csv,1,1,276,0.0,2.3,0.432014,0.451692,0.449309,3555.4,0.015,True
argus-local,argus,Q05,csv,1,2,274,0.0,2.276,0.438889,0.456712,0.453651,3936.2,0.015,True
argus-local,argus,Q05,csv,1,3,275,0.0,2.287,0.435641,0.456106,0.453254,3856.7,0.015,True
argus-local,argus,Q05,csv,16,1,1701,0.0,14.057,1.126829,1.262681,1.257481,3834.1,0.025,True
argus-local,argus,Q05,csv,16,2,1703,0.0,14.093,1.128838,1.236433,1.231107,3986.5,0.03,True
argus-local,argus,Q05,csv,16,3,1714,0.0,14.158,1.125216,1.236418,1.232815,3918.9,0.025,True
argus-local,argus,Q05,csv,32,1,1724,0.0,14.112,2.256995,2.393662,2.388037,3822.1,0.03,True
argus-local,argus,Q05,csv,32,2,1729,0.0,14.162,2.252336,2.406765,2.398922,4022.3,0.03,True
argus-local,argus,Q05,csv,32,3,1719,0.0,14.065,2.263849,2.394529,2.388673,3916.1,0.03,True
argus-local,argus,Q05,csv,4,1,983,0.0,8.157,0.461444,0.558432,0.555564,3688.3,0.015,True
argus-local,argus,Q05,csv,4,2,991,0.0,8.231,0.455824,0.559329,0.55629,3869.2,0.015,True
argus-local,argus,Q05,csv,4,3,971,0.0,8.064,0.464656,0.561948,0.558694,3811.5,0.015,True
argus-local,argus,Q05,csv,8,1,1676,0.0,13.905,0.568012,0.623548,0.616779,3834.4,0.04,True
argus-local,argus,Q05,csv,8,2,1601,0.0,13.286,0.569669,0.643107,0.626543,3953.0,0.04,True
argus-local,argus,Q05,csv,8,3,1675,0.0,13.899,0.568224,0.624246,0.619291,3919.9,0.02,True
argus-local,argus,Q06,csv,1,1,280,0.0,2.332,0.433364,0.451422,0.446785,71912.2,0.015,True
argus-local,argus,Q06,csv,1,2,280,0.0,2.328,0.436272,0.455973,0.45115,72896.4,0.02,True
argus-local,argus,Q06,csv,1,3,279,0.0,2.323,0.436467,0.455294,0.450211,66763.9,0.02,True
argus-local,argus,Q06,csv,16,1,1718,0.0,14.219,1.131063,1.225172,1.217152,72195.4,0.025,True
argus-local,argus,Q06,csv,16,2,1725,0.0,14.259,1.128184,1.225734,1.218702,72446.6,0.03,True
argus-local,argus,Q06,csv,16,3,1708,0.0,14.138,1.137085,1.282481,1.239483,70917.9,0.035,True
argus-local,argus,Q06,csv,32,1,1730,0.0,14.174,2.260785,2.399681,2.391321,71955.8,0.035,True
argus-local,argus,Q06,csv,32,2,1735,0.0,14.199,2.254448,2.382389,2.37493,72286.2,0.035,True
argus-local,argus,Q06,csv,32,3,1736,0.0,14.2,2.253176,2.382762,2.373126,70450.0,0.035,True
argus-local,argus,Q06,csv,4,1,1067,0.0,8.865,0.446788,0.55449,0.54844,72643.5,0.02,True
argus-local,argus,Q06,csv,4,2,1006,0.0,8.348,0.454141,0.566788,0.562457,71181.8,0.02,True
argus-local,argus,Q06,csv,4,3,1051,0.0,8.724,0.446343,0.562717,0.555988,69997.2,0.02,True
argus-local,argus,Q06,csv,8,1,1682,0.0,13.96,0.574603,0.638853,0.630709,71904.9,0.025,True
argus-local,argus,Q06,csv,8,2,1677,0.0,13.916,0.576152,0.630769,0.624744,72004.6,0.025,True
argus-local,argus,Q06,csv,8,3,1684,0.0,13.977,0.573579,0.634799,0.627927,70865.5,0.025,True
argus-local,argus,Q07,csv,1,1,391,0.0,3.25,0.352552,0.435191,0.431417,19210.9,0.02,True
argus-local,argus,Q07,csv,1,2,376,0.0,3.13,0.359268,0.43162,0.427717,20505.4,0.02,True
argus-local,argus,Q07,csv,1,3,376,0.0,3.131,0.35823,0.431392,0.427117,20409.2,0.02,True
argus-local,argus,Q07,csv,16,1,2406,0.0,19.938,0.832293,1.014108,1.006771,20486.6,0.03,True
argus-local,argus,Q07,csv,16,2,2428,0.0,20.095,0.826229,1.009386,1.002951,20315.1,0.03,True
argus-local,argus,Q07,csv,16,3,2422,0.0,20.036,0.828979,1.011237,1.006344,20662.8,0.035,True
argus-local,argus,Q07,csv,32,1,2435,0.0,20.018,1.612247,1.852579,1.847159,20448.8,0.04,True
argus-local,argus,Q07,csv,32,2,2445,0.0,20.088,1.605964,1.845399,1.839161,20369.9,0.035,True
argus-local,argus,Q07,csv,32,3,2441,0.0,20.066,1.604234,1.861914,1.854492,20664.1,0.04,True
argus-local,argus,Q07,csv,4,1,1361,0.0,11.307,0.388205,0.510044,0.505384,20203.5,0.02,True
argus-local,argus,Q07,csv,4,2,1361,0.0,11.296,0.383339,0.512533,0.50769,19968.4,0.039,True
argus-local,argus,Q07,csv,4,3,1361,0.0,11.33,0.387727,0.51388,0.50961,19968.5,0.03,True
argus-local,argus,Q07,csv,8,1,2345,0.0,19.49,0.457107,0.575958,0.570842,20409.1,0.045,True
argus-local,argus,Q07,csv,8,2,2344,0.0,19.478,0.456768,0.577706,0.571848,20247.7,0.03,True
argus-local,argus,Q07,csv,8,3,2336,0.0,19.405,0.458046,0.577375,0.571111,20472.5,0.035,True
argus-local,argus,Q10,csv,1,1,3837,0.0,31.965,0.030809,0.036384,0.022027,297916.2,0.26,True
argus-local,argus,Q10,csv,1,2,3765,0.0,31.371,0.030889,0.036331,0.022097,297981.6,0.265,True
argus-local,argus,Q10,csv,1,3,3808,0.0,30.536,0.030954,0.036461,0.02228,298023.2,0.26,True
argus-local,argus,Q10,csv,16,1,21050,0.0,175.304,0.089918,0.115864,0.077977,297986.6,0.42,True
argus-local,argus,Q10,csv,16,2,21143,0.0,176.102,0.089793,0.114911,0.077733,298035.7,0.415,True
argus-local,argus,Q10,csv,16,3,21022,0.0,175.074,0.089492,0.115248,0.077523,298019.2,0.42,True
argus-local,argus,Q10,csv,32,1,20898,0.0,173.959,0.183055,0.21026,0.17618,297990.0,0.41,True
argus-local,argus,Q10,csv,32,2,20844,0.0,173.507,0.183442,0.212059,0.176652,298033.5,0.415,True
argus-local,argus,Q10,csv,32,3,20868,0.0,173.693,0.183106,0.211305,0.176116,298019.7,0.41,True
argus-local,argus,Q10,csv,4,1,10426,0.0,86.86,0.038774,0.0481,0.029152,297970.7,0.245,True
argus-local,argus,Q10,csv,4,2,10085,0.0,84.024,0.038781,0.047855,0.029056,297997.3,0.245,True
argus-local,argus,Q10,csv,4,3,11679,0.0,97.305,0.038639,0.047788,0.028907,298084.2,0.245,True
argus-local,argus,Q10,csv,8,1,16717,0.0,138.984,0.051519,0.065552,0.039344,297999.1,0.365,True
argus-local,argus,Q10,csv,8,2,16553,0.0,137.88,0.052337,0.066328,0.040446,298030.2,0.365,True
argus-local,argus,Q10,csv,8,3,17801,0.0,148.296,0.052559,0.066492,0.040587,298027.2,0.365,True
argus-local,argus,Q11,csv,1,1,680,0.0,5.665,0.175805,0.188546,0.020684,2996381.7,0.32,True
argus-local,argus,Q11,csv,1,2,683,0.0,5.688,0.174963,0.187052,0.020598,2994414.2,0.32,True
argus-local,argus,Q11,csv,1,3,679,0.0,5.657,0.175786,0.188807,0.020551,2995462.0,0.31,True
argus-local,argus,Q11,csv,16,1,3275,0.0,27.175,0.589283,0.667417,0.36314,2996985.4,0.465,True
argus-local,argus,Q11,csv,16,2,3275,0.0,27.175,0.588003,0.66573,0.366285,2996302.8,0.455,True
argus-local,argus,Q11,csv,16,3,3270,0.0,27.138,0.589372,0.672131,0.365919,2995403.3,0.48,True
argus-local,argus,Q11,csv,32,1,3297,0.0,27.225,1.173359,1.258431,0.965088,2997061.6,0.465,True
argus-local,argus,Q11,csv,32,2,3293,0.0,27.184,1.173504,1.264214,0.969489,2996264.9,0.475,True
argus-local,argus,Q11,csv,32,3,3293,0.0,27.17,1.175828,1.265099,0.9679,2995339.8,0.475,True
argus-local,argus,Q11,csv,4,1,2207,0.0,18.365,0.217275,0.242524,0.031279,2996295.0,0.32,True
argus-local,argus,Q11,csv,4,2,2214,0.0,18.425,0.216345,0.241695,0.030922,2995894.5,0.32,True
argus-local,argus,Q11,csv,4,3,2209,0.0,18.38,0.217193,0.244491,0.031145,2995776.1,0.315,True
argus-local,argus,Q11,csv,8,1,3174,0.0,26.408,0.302886,0.348838,0.046543,2996856.4,0.45,True
argus-local,argus,Q11,csv,8,2,3180,0.0,26.458,0.302292,0.349733,0.046359,2996173.7,0.455,True
argus-local,argus,Q11,csv,8,3,3033,0.0,25.231,0.301971,0.351295,0.047082,2995402.1,0.47,True
argus-local,argus,Q12,csv,1,1,272,0.0,2.259,0.441352,0.455794,0.452929,109.0,0.015,True
